Model,Processor,Screen Size,Screen Clarity,Screen Refresh Rate,Screen Material,Battery Capacity (Wh),Weight (kg),Reference Price,Battery Life,Power Consumption (W/h),CPU Maximum Frequency (GHz),CPU Full Load Power Consumption (W),Cooling Plate Area Min (mm²),Cooling Plate Area Max (mm²),Number of Fans,Number of Heat Pipes
REDMI Book 14 2025,220H,14,1800P,120Hz,IPS,56,1.35,5199,5h32m,10.1,4.9,115,800,1200,2,2
Zenbook 14 2025,285H,14,1800P,120Hz,OLED,75,1.21,7499,8h50m,8.5,5.4,115,1000,1500,2,2
Infinity 14N,228V,14,1800P,120Hz,IPS,60,1.28,5999,9h50m,6.1,4.5,37,400,600,1,1
Acer Swift Go Air,13620H,14,1400P,60Hz,IPS,60,0.974,3999,5h27m,11,4.9,115,800,1200,2,2
Honor X14 Plus 2025,220H,14,1800P,120Hz,IPS,60,1.35,4999,6h10m,9.7,4.9,115,800,1200,2,2
ROG Flow X 2025,AI MAX+ 395,13.4,1600P,180Hz,IPS Touchscreen,70,1.62,14999,6h58m,10,5.1,120,1500,2000,2,3
Founder Ziguang 14,155H,14,1200P,60Hz,IPS,65,1.09,5839,6h40m,9.7,4.8,115,800,1200,2,2
Xiaoxin Pro 14 GT,225H,14,1800P,120Hz,OLED,84,1.4,5600,10h42m,7.9,4.9,115,1000,1500,2,2
Thinkpad X9 Aura AI Edition,258V,14,1800P,120Hz,OLED Touchscreen,55,1.27,10999,8h16,6.7,4.8,37,400,600,1,1
MagicBook Pro 14,285H,14.6,2080P,120Hz,OLED Touchscreen,92,1.4,6159,12h11m,7.6,5.4,115,1000,1500,2,2
REDMI Book Pro 14 2025,255H,14,1800P,120Hz,IPS,80,1.45,5599,10h29m,7.6,5.1,115,800,1200,2,2
Surface Pro 11,266v,13,1920P,120Hz,OLED Touchscreen,47,0.875 (with keyboard and pen 1.16),15288,9h40m,4.9,5,37,300,500,0,1
Yoga Air X,258v,14,2400P,120Hz,OLED Touchscreen,75,1.24,12999,10h37m,7.1,4.8,37,400,600,1,1
Zenbook 14 Air,258v,14,1800P,120Hz,OLED,72,1.18,8999,11h56m,6,4.8,37,400,600,1,1
ThinkBook 14+ 2025 Ryzen Edition,AI9 365,14.5,1920P,120Hz,IPS,85,1.54,7999,9h58m,8.5,5,54,600,800,2,2
Fujitsu LifeBook UHX1BC,1355U,14,1200P,60Hz,IPS,25,0.687,240000 JPY,3h34m,7,5,55,600,800,1,1
Acer Swift Go Princess Edition,13620H,14,1800P,120Hz,IPS,60,1.49,4899,4h21m,13.8,4.9,115,800,1200,2,2
ThinkPad T14p AI 2024,125H,14.5,1600P,90Hz,IPS,75,1.62,7499,7h03m,10.6,4.5,115,1000,1500,2,2
Asus A豆 14 Air Fragrance Edition,8945H,14,1800P,120Hz,OLED,75,1.33,6988,7h23m,10.2,5.2,54,600,800,2,2
无畏Pro 14,228v,14,1800P,120Hz,OLED,75,1.29,6999,10h9m,7.4,4.5,37,400,600,1,1
Surface Pro 10,135U,13,1920P,120Hz,IPS Touchscreen,48,0.871 (with keyboard + pen 1.16),11056 (with keyboard + pen 12623),4h40m,10.3,4.4,57,300,500,0,1
WIKO Hi MateBook 14,125H,14.2,1920P,120Hz,OLED Touchscreen,70,1.31,5999,8h30m,8.2,4.5,115,800,1200,2,2
ThinkBook X,125H,13.5,1920P,120Hz,IPS,74,1.17,6999,8h48m,8.4,4.5,115,800,1200,2,2
星Book Pro 13,8840HS,13.3,1600P,60Hz,IPS,43,1.02,5399,6h07m,7,5.1,30,400,600,1,1
ThinkPad X13 2024,125H,13.3,1200P,60Hz,IPS,54.7,1.24,7999,6h39m,8.2,4.5,115,800,1200,2,2
MagicBook Art 14 Snapdragon Edition,X1E-80-100,14.6,2080P,120Hz,OLED Touchscreen,60,1,8299,11h01m,5.4,4,80,700,1000,1,2
Asus Pro 6 Pro,228v,14,1600P,144Hz,IPS,63,1.27,6499,11h02m,5.6,4.5,37,400,600,1,1
MateBook GT 14,125H,14.2,1920P,144Hz,OLED Touchscreen,70,1.51,7399,6h13m,11.3,4.5,115,1000,1500,2,2
星Book Ultra 14,258v,14,1800P,120Hz,OLED Flip Touchscreen,64,1.33,11999,8h57m,7.1,4.8,37,400,600,1,1
小新13 Air 2025,7735HS,13.3,1200P,60Hz,IPS,54.7,1.15,4488,9h10m,6,4.75,54,600,800,1,2
YOGA Air 14 AI Edition,155H,14,1800P,120Hz,OLED,65,1.41,8499,5h33m,11.7,4.8,115,1000,1500,2,2
GDP DUO Dual Screen,HX370,13.3,1800P,60Hz,OLED Touchscreen (Dual Screen),80,2.27,11800,7h,11.4,5.1,54,1000,1500,2,3
ThinkPad X1 Carbon Aura AI Edition,258v,14,1800P,120Hz,OLED,57,0.984,17999,8h14m,6.9,4.8,37,400,600,1,1
Zenbook 14 Dual Screen,185H,14,1800P,120Hz,OLED Touchscreen (Dual Screen),75,1.38+0.322 (Magnetic Keyboard),15999,6h40m,11.2,5.1,115,1500,2000,2,3
Envy x360 14 Ryzen Edition,8840HS,14,1800P,120Hz,OLED Flip Touchscreen,59,1.38,7199,6h21m,9.3,5.1,30,400,600,1,1
Zenbook 13,155U,13.5,1800P,60Hz,OLED,63,1,7999,7h23m,8.5,4.9,57,400,600,1,1
Yoga Book 9,155U,13.3,1800P,60Hz,OLED Touchscreen (Dual Screen),80,1.34,17999,7h31m,10.6,4.9,57,800,1200,2,2
LG Gram 14 2024,125H,14,1200P,60Hz,IPS,72,1.1,5999,8h27m,8.5,4.5,115,800,1200,2,2
Matebook X Pro,155H,14.2,2080P,120Hz,OLED Touchscreen,70,0.981,12499,5h40m,12.3,4.8,115,1200,1800,2,2
MagicBook 14,13500H,14,1680P,120Hz,IPS,75,1.52,3899,6h19m,11.9,4.7,115,800,1200,2,2
Thinkbook SE 2024,13420H,14,1200P,60Hz,IPS,60,1.48,3799,6h1m,10,4.4,115,800,1200,2,2
Honor X14 Ryzen Edition,7640HS,14,1200P,60Hz,IPS,60,1.42,2899,7h53m,7.6,4.9,54,600,800,1,2
Matebook 14,155H,14.2,1920P,120Hz,OLED Touchscreen,70,1.32,8499,6h57m,10.1,4.8,115,1000,1500,2,2
Surface Pro 10,165U,13,1920P,120Hz,IPS Touchscreen,48,0.871/1.16 (with keyboard + pen),14888/+2488,4h40m,10.2,4.9,57,300,500,0,1
Yoga Air 14s Snapdragon Edition,骁龙X1E-78-100,14.5,1840P,90Hz,OLED Touchscreen,70,1.28,9999,13h17m,5.3,3.4,45,500,700,1,1
MagicBook Art 14,155H,14.6,2080P,120Hz,OLED Touchscreen,60,1.03,9499,6h30m,9.2,4.8,115,1000,1500,2,2
Huawei Qingyun L540,麒麟9006C,14,1440P,60Hz,IPS,56,1.42,6999,4h10m,13.5,3.13,6,200,300,0,0
Surface Laptop 7,骁龙X1E-80-100,13.8,1536P,120Hz,IPS,54,1.34,11188,11h40m,4.6,4,80,700,1000,1,2
Acer Swift GO PRO,骁龙X1E-78-100,14,1600P,120Hz,IPS,50,1.31,5999,8h08,6.2,3.4,45,500,700,1,1
YOGA Air 14,155H,14,1800P,120Hz,OLED,65,1.41,8499,5h33m,11.7,4.8,115,1000,1500,2,2
MateBook GT 14,185H,14.2,1920P,144Hz,OLED Touchscreen,70,1.51,10999,6h13m,11.3,5.1,115,1200,1800,2,2
Yoga Air 14c AI Edition,155H,14,1600P,120Hz,OLED Flip Touchscreen,71,1.49,8999,5h55m,12,4.8,115,1000,1500,2,2
RedmiBook Pro 14,125H,14,1800P,120Hz,IPS,77,1.45,5699,8h56m,8.6,4.5,115,800,1200,2,2
Thinkbook 14+ Ryzen Edition,8845HS,14.5,1920P,120Hz,IPS,85,1.56,5499,9h57m,8.5,5.1,30,400,600,1,1
战X 2024 Ryzen Edition,8840HS,14,1600P,120Hz,IPS,56,1.49,5799,5h58,9.3,5.1,30,400,600,1,1
战X Air,8840HS,13.3,1600P,60Hz,IPS,43,1,6999,6h40m,6.4,5.1,30,400,600,1,1
Thinkbook Plus Hybrid,155H/8+,14,1800P,60Hz,OLED,75/38,1.74,15999,6h30m,11.5,4.8,115,1000,1500,2,2
小新Pro 14 2024 Ryzen Edition,8845H,14,1800P,120Hz,OLED,84,1.46,5599,9h40m,8.7,5.2,54,600,800,1,2
ThinkBook 14+ 2024,125H,14.5,1920P,120Hz,IPS,85,1.55,5999,6h29m,13.1,4.5,115,800,1200,2,2
Honor X14 Plus,8845HS,14,1800P,120Hz,IPS,60,1.35,4999,7h12m,8.3,5.1,30,400,600,1,1
Cube GTBook 14 Gen2,N95,14,1080P,60Hz,IPS 45%NTSC,45,1.35,999 (Barebone),4h37m,9.7,3.4,15,200,400,1,1
ThinkBook X,185H,13.5,1920P,120Hz,IPS,74,1.08,9999,7h13m,10.2,5.1,115,800,1200,2,2
Matebook X Pro,185H,14.2,2080P,120Hz,OLED Touchscreen,70,0.981,14999,5h40m,12.3,5.1,115,1200,1800,2,2
Thinkpad T14P AI 2024,185H,14.5,1920P,120Hz,IPS,75,1.61,9499,7h13m,10.4,5.1,115,1000,1500,2,2
Infinity 14X,8845HS,14,1800P,120Hz,IPS,80,1.47,3999,7h40m,10.4,5.1,30,400,600,1,1
Surface Pro 10,165U,13,1920P,120Hz,IPS Touchscreen,48,0.871 (keyboard and pen +0.29),14888 (+2488),4h40m,10.3,4.9,57,300,500,0,1
Dell Inspiron 14 Dragon Edition,8840HS,14,1400P,60Hz,IPS,41,1.55,3999,5h6m,8,5.1,30,400,600,1,1
Zenbook 14 Dual Screen,185H,14,1800P,120Hz,OLED (Dual Screen Same Spec),75,1.38,15999,6h40m,11.2,5.1,115,1500,2000,2,3
RedmiBook Pro 14,155H,14,1800P,120Hz,IPS,77,1.46,6499,7h15m,10.6,4.8,115,800,1200,2,2
星Book Pro 14 Ryzen Edition,8845H,14,1800P,120Hz,OLED,68,1.45,5299,5h57m,11.4,5.2,54,600,800,1,2
战66七代酷睿版,125H,14,1600P,120Hz,IPS,56,1.45,5099,5h58m,9.4,4.5,115,800,1200,2,2
小新pro14 2024,125H,14,1800P,120Hz,OLED,84,1.48,5999,7h51m,10.7,4.5,115,800,1200,2,2
a豆 14 air,8845H,14,1800P,120Hz,OLED,75,1.29,5299,6h17m,11.9,5.2,54,600,800,1,2
Zenbook 14 2024,155H,14,1800P,120Hz,OLED,75,1.2,6599,6h58m,10.8,4.8,115,1000,1500,2,2
Swift go pro,13500h,14,1800P,120Hz,IPS,60,1.49,4199,3h57m,15,4.7,115,800,1200,2,2
yoga pro 14s Lightweight Edition,7840hs,14.5,1920P,120Hz,IPS,73,1.47,5699,6h6m,12,4.9,54,600,800,1,2
Zenbook 14,1360p,14,1800P,90Hz,OLED,75,1.37,6499,7h14m (Dark Mode + auto dark),10.4,4.7,57,400,600,1,1
星book pro 13,7735hs,13.3,1600P,60Hz,IPS,43,0.987,4799,5h12m,8.3,4.75,54,400,600,1,1
Zenbook 14 2023 Flagship Edition,13900h,14,1800P,120Hz,OLED,70,1.56,7099,5h10m,13.5,5.4,115,1500,2000,2,3
thinkbook x13 (4g),1340p,13.3,1200P,60Hz,IPS,54.7,1.26,7699,5h33m,9.5,4.6,57,400,600,1,1
星book pro 14,13500h,14,1800P,90Hz,OLED,51,1.35,4899,3h55m,13.1,4.7,115,800,1200,2,2
surface go 3,1255u,12.4,1024P,60Hz,IPS Touchscreen,39.7,1.12,6388,4h12m,9.5,4.4,57,300,500,0,1
Zenbook 13,1355u,13.3,1800P,60Hz,OLED,63,1,7999,6h25m,9.9,5,57,400,600,1,1
matebook 14,1360p,14,1440P,60Hz,IPS Touchscreen,56,1.47,6499,5h40m,9.9,4.7,57,600,800,1,2
Thinkpad x13s,8cx gen3,13.3,1200P,60Hz,IPS Touchscreen,49.5,1.15,7999,8h42m,5.7,3,25,300,500,0,0
Infinity 14pro,12650hx,14,1800P,120Hz,IPS,60,1.46,3999,3h31m,17.1,4.7,157,2000,2500,2,4
锐pro 14锐龙版,7840h,14,1600P,120Hz,IPS,68,1.53,4699,6h36m,10.3,4.9,54,600,800,1,2
小新pro14 锐龙版,7840hs,14,1800P,120Hz,IPS,75,1.44,5799,5h51m,12.8,4.9,54,600,800,1,2
magicbook x 14 pro 锐龙版,7840hs,14,1200P,60Hz,IPS,60,1.4,4199,6h30m,9.2,4.9,54,600,800,1,2
Infinity 14 pro 锐龙版,7840hs,14,1800P,120Hz,IPS,60,1.48,3999,4h40m,12.8,4.9,54,600,800,1,2
thinkbook 14,13500h,14,1400P,60Hz,IPS,60,1.45,4599,4h36m,13,4.7,115,800,1200,2,2
matebook 14s,13500h,14.2,1680P,120Hz,IPS Touchscreen,60,1.44,5999,5h52m,10.2,4.7,115,1000,1500,2,2
星book pro 14 锐龙版,7840h,14,1800P,120Hz,OLED,68,1.45,5299,5h28m,12.4,4.9,54,600,800,1,2
Zenbook 13 2023,1335u,13.3,1800P,60Hz,OLED,63,1,7499,7h30m,8.4,4.5,57,400,600,1,1
thinkbook plus twist,1355u,13.3,1800P,60Hz,OLED+12 1600P E Ink Screen,56,1.38,11999,5h20m,10.5,5,57,600,800,1,2
蜻 g4,1355u,13.5,2000P,60Hz,OLED,68,1.19,12999,6h22m,10.6,5,57,400,600,1,1
yoga air 14s,7840s,14.5,1840P,90Hz,OLED Touchscreen,70,1.29,8299,5h20m,13.1,4.9,54,600,800,1,2
matebook 14,1360p,14,1440P,60Hz,IPS Touchscreen,56,1.47,6999,5h40m,9.9,4.7,57,600,800,1,2
